,Region,ScoreType,BestSource,SourcesSet,Value,IsBest,NbFolds
0,Amazonas,OOS,Colombia & GT,Colombia,0.008744958254640056,False,18
1,Amazonas,InSample,Colombia & GT,Colombia,0.3802651864971478,False,18
2,Anzoategui,OOS,Colombia & GT,Colombia,-0.3221195890054296,False,18
3,Anzoategui,InSample,Colombia & GT,Colombia,0.18830465620907,False,18
4,Apure,OOS,Colombia & GT,Colombia,-0.2928783915421156,False,18
5,Apure,InSample,Colombia & GT,Colombia,0.17395464354532994,False,18
6,Aragua,OOS,Colombia & GT by State,Colombia,-1.0544877214219222,False,18
7,Aragua,InSample,Colombia & GT by State,Colombia,0.2936588858268228,False,18
8,Barinas,OOS,Colombia & GT,Colombia,-0.3976772057957849,False,18
9,Barinas,InSample,Colombia & GT,Colombia,0.21112210184497332,False,18
10,Bolivar,OOS,Colombia & GT,Colombia,-3.780541633721488,False,18
11,Bolivar,InSample,Colombia & GT,Colombia,-0.3904042035041084,False,18
12,Carabobo,OOS,Colombia & GT,Colombia,-2.8435998151218285,False,18
13,Carabobo,InSample,Colombia & GT,Colombia,0.16818134556598266,False,18
14,Cojedes,OOS,Colombia & GT by Symptom,Colombia,-0.1115477335973898,False,18
15,Cojedes,InSample,Colombia & GT by Symptom,Colombia,0.17342287550724433,False,18
16,Delta Amacuro,OOS,Colombia & GT,Colombia,-0.05948366149252804,False,18
17,Delta Amacuro,InSample,Colombia & GT,Colombia,0.2854106128527858,False,18
18,Distrito Federal,OOS,Colombia Border & GT,Colombia,-2.4356433683376344,False,18
19,Distrito Federal,InSample,Colombia Border & GT,Colombia,0.4908104552609471,False,18
20,Falcon,OOS,Colombia & GT,Colombia,-0.9166620567840946,False,18
21,Falcon,InSample,Colombia & GT,Colombia,-0.4905073522411354,False,18
22,Guarico,OOS,Colombia & GT,Colombia,-2.968614787640592,False,18
23,Guarico,InSample,Colombia & GT,Colombia,0.20832547575554872,False,18
24,Lara,OOS,Colombia & GT,Colombia,-0.17824988163012812,False,18
25,Lara,InSample,Colombia & GT,Colombia,0.2092327218054001,False,18
