,Region,ScoreType,BestSource,SourcesSet,Value,IsBest,NbFolds
0,Amazonas,OOS,Dengue GT CO,Colombia,-0.18779194694021228,False,36
1,Amazonas,InSample,Dengue GT CO,Colombia,0.3933719246009111,False,36
2,Anzoategui,OOS,Colombia & GT,Colombia,-0.3221195890054296,False,36
3,Anzoategui,InSample,Colombia & GT,Colombia,0.21463131331018406,False,36
4,Apure,OOS,Colombia & GT,Colombia,-0.14432662513341854,False,36
5,Apure,InSample,Colombia & GT,Colombia,0.2368331122436619,False,36
6,Aragua,OOS,Colombia & GT by State,Colombia,-0.4264630263628275,False,36
7,Aragua,InSample,Colombia & GT by State,Colombia,0.4559052536518826,False,36
8,Barinas,OOS,Colombia & GT,Colombia,-0.1775161506459919,False,36
9,Barinas,InSample,Colombia & GT,Colombia,0.22374209586425253,False,36
10,Bolivar,OOS,Colombia & GT,Colombia,-1.108274590070598,False,36
11,Bolivar,InSample,Colombia & GT,Colombia,0.14797999494486924,False,36
12,Carabobo,OOS,Colombia & GT,Colombia,-3.3131366607504917,False,36
13,Carabobo,InSample,Colombia & GT,Colombia,0.3435703475539226,False,36
14,Cojedes,OOS,Colombia & GT,Colombia,-0.24314519805267645,False,36
15,Cojedes,InSample,Colombia & GT,Colombia,0.19846741915770272,False,36
16,Delta Amacuro,OOS,Colombia & GT,Colombia,-0.1172919729081987,False,36
17,Delta Amacuro,InSample,Colombia & GT,Colombia,0.29719789608550884,False,36
18,Distrito Federal,OOS,Colombia & GT,Colombia,-7.705782216890293,False,36
19,Distrito Federal,InSample,Colombia & GT,Colombia,0.5360518921616731,False,36
20,Falcon,OOS,Colombia & GT,Colombia,-0.9166620567840946,False,36
21,Falcon,InSample,Colombia & GT,Colombia,-0.1316154039620363,False,36
22,Guarico,OOS,Colombia & GT,Colombia,-1.1919059217092527,False,36
23,Guarico,InSample,Colombia & GT,Colombia,0.2479625213155282,False,36
24,Lara,OOS,Colombia & GT,Colombia,-0.18777834522643166,False,36
25,Lara,InSample,Colombia & GT,Colombia,0.4776934176083232,False,36
26,Merida,OOS,Colombia & GT,Colombia,0.3021706411825559,False,36
27,Merida,InSample,Colombia & GT,Colombia,0.6537176468681083,False,36
28,Miranda,OOS,Colombia Border & GT,Colombia,-2.398412513350254,False,36
29,Miranda,InSample,Colombia Border & GT,Colombia,0.4959497110833214,False,36
30,Monagas,OOS,Colombia & GT,Colombia,-0.3196148936216443,False,36
31,Monagas,InSample,Colombia & GT,Colombia,0.3907505806850593,False,36
32,Nueva Esparta,OOS,Colombia & GT,Colombia,-1.2777389776202823,False,36
33,Nueva Esparta,InSample,Colombia & GT,Colombia,-0.08889445735474633,False,36
34,Portuguesa,OOS,Colombia & GT,Colombia,0.1803382373031407,False,36
35,Portuguesa,InSample,Colombia & GT,Colombia,0.2788029158784816,False,36
36,Sucre,OOS,Colombia Border & GT,Colombia,-0.27655719552465396,False,36
37,Sucre,InSample,Colombia Border & GT,Colombia,0.3173404080345186,False,36
38,Tachira,OOS,Colombia & GT,Colombia,-0.4792675605158576,False,36
39,Tachira,InSample,Colombia & GT,Colombia,0.7219659146839578,False,36
40,Total,OOS,Colombia & GT,Colombia,0.3792536598237484,False,36
41,Total,InSample,Colombia & GT,Colombia,0.4556433435292348,False,36
42,Trujillo,OOS,Colombia & GT,Colombia,-0.2731072417570457,False,36
43,Trujillo,InSample,Colombia & GT,Colombia,-0.5500211402947681,False,36
44,Vargas,OOS,Colombia & GT,Colombia,-0.32652918803006803,False,36
45,Vargas,InSample,Colombia & GT,Colombia,0.3064453076363413,False,36
46,Yaracuy,OOS,Colombia & GT,Colombia,-1.8664543783998089,False,36
47,Yaracuy,InSample,Colombia & GT,Colombia,0.4777660019376754,False,36
48,Zulia,OOS,Colombia & GT,Colombia,-3.8759909512942166,False,36
49,Zulia,InSample,Colombia & GT,Colombia,-0.1311487358777077,False,36
50,Amazonas,OOS,Dengue GT CO,Colombia Border & GT,0.06300484927434857,False,36
51,Amazonas,InSample,Dengue GT CO,Colombia Border & GT,0.3716161652295251,False,36
52,Anzoategui,OOS,Colombia & GT,Colombia Border & GT,-0.456771115382336,False,36
53,Anzoategui,InSample,Colombia & GT,Colombia Border & GT,0.4930250910012858,False,36
54,Apure,OOS,Colombia & GT,Colombia Border & GT,-0.028698605702961236,False,36
55,Apure,InSample,Colombia & GT,Colombia Border & GT,0.3434016602515937,False,36
56,Aragua,OOS,Colombia & GT by State,Colombia Border & GT,-0.06288903147126268,False,36
57,Aragua,InSample,Colombia & GT by State,Colombia Border & GT,0.5028432199618291,False,36
58,Barinas,OOS,Colombia & GT,Colombia Border & GT,0.16515118050437785,False,36
