,Region,ScoreType,BestSource,SourcesSet,Value,IsBest,NbFolds
0,Amazonas,OOS,Colombia & GT,Colombia,0.031735867818953656,False,48
1,Amazonas,InSample,Colombia & GT,Colombia,0.3600712255790586,False,48
2,Anzoategui,OOS,Colombia & GT,Colombia,-4.148096902159265,False,48
3,Anzoategui,InSample,Colombia & GT,Colombia,0.3372723718536148,False,48
4,Apure,OOS,Colombia & GT,Colombia,-0.32088669778346635,False,48
5,Apure,InSample,Colombia & GT,Colombia,0.2488440306310133,False,48
6,Aragua,OOS,Colombia & GT,Colombia,-0.3509011051286972,False,48
7,Aragua,InSample,Colombia & GT,Colombia,0.2938065895467459,False,48
8,Barinas,OOS,Colombia & GT,Colombia,-1.5479695474610216,False,48
9,Barinas,InSample,Colombia & GT,Colombia,0.3422192248111925,False,48
10,Bolivar,OOS,Colombia & GT,Colombia,-0.09988484691317524,False,48
11,Bolivar,InSample,Colombia & GT,Colombia,-0.07537617677640096,False,48
12,Carabobo,OOS,Colombia & GT,Colombia,-0.21480854006971264,False,48
13,Carabobo,InSample,Colombia & GT,Colombia,0.42192325244611495,False,48
14,Cojedes,OOS,Colombia & GT,Colombia,0.0007186252511804938,False,48
15,Cojedes,InSample,Colombia & GT,Colombia,0.2446156641891745,False,48
16,Delta Amacuro,OOS,Colombia & GT,Colombia,-0.03027801028494825,False,48
17,Delta Amacuro,InSample,Colombia & GT,Colombia,0.3674539459110285,False,48
18,Distrito Federal,OOS,Colombia & GT,Colombia,0.10456244476675547,False,48
19,Distrito Federal,InSample,Colombia & GT,Colombia,0.5784252089565329,False,48
20,Falcon,OOS,Colombia & GT,Colombia,-1.3463845135708183,False,48
21,Falcon,InSample,Colombia & GT,Colombia,0.21256240864370368,False,48
22,Guarico,OOS,Colombia & GT,Colombia,-1.4338007893345064,False,48
23,Guarico,InSample,Colombia & GT,Colombia,0.25144508846834124,False,48
24,Lara,OOS,Colombia & GT,Colombia,0.1390190012370175,False,48
25,Lara,InSample,Colombia & GT,Colombia,0.5315634918098495,False,48
26,Merida,OOS,Colombia & GT,Colombia,0.20027147115357136,False,48
27,Merida,InSample,Colombia & GT,Colombia,0.6723958165237061,False,48
28,Miranda,OOS,Colombia & GT,Colombia,-0.42786673422994537,False,48
29,Miranda,InSample,Colombia & GT,Colombia,0.5350829362609357,False,48
30,Monagas,OOS,Colombia & GT,Colombia,-0.9516808838346772,False,48
31,Monagas,InSample,Colombia & GT,Colombia,0.3659607553342422,False,48
32,Nueva Esparta,OOS,Colombia & GT,Colombia,-0.2763466776726933,False,48
33,Nueva Esparta,InSample,Colombia & GT,Colombia,0.16686305966027504,False,48
34,Portuguesa,OOS,Colombia & GT,Colombia,-0.4403548661212085,False,48
35,Portuguesa,InSample,Colombia & GT,Colombia,0.3593381010879576,False,48
36,Sucre,OOS,Colombia & GT,Colombia,-1.7346287165261132,False,48
37,Sucre,InSample,Colombia & GT,Colombia,0.3225211416671102,False,48
38,Tachira,OOS,Colombia & GT,Colombia,-0.7561459798401824,False,48
39,Tachira,InSample,Colombia & GT,Colombia,0.7201353690273146,False,48
40,Total,OOS,Colombia & GT,Colombia,-0.6378635279092837,False,48
41,Total,InSample,Colombia & GT,Colombia,0.5097541597147359,False,48
42,Trujillo,OOS,Colombia & GT,Colombia,-0.4381097734061468,False,48
43,Trujillo,InSample,Colombia & GT,Colombia,0.3158701831814724,False,48
44,Vargas,OOS,Colombia & GT,Colombia,-0.4830133808496857,False,48
45,Vargas,InSample,Colombia & GT,Colombia,0.3215902294264537,False,48
46,Yaracuy,OOS,Colombia & GT,Colombia,-0.006129676072520685,False,48
47,Yaracuy,InSample,Colombia & GT,Colombia,0.4072985332145021,False,48
48,Zulia,OOS,Colombia & GT,Colombia,-0.7077239169836196,False,48
49,Zulia,InSample,Colombia & GT,Colombia,0.20915216917515844,False,48
50,Amazonas,OOS,Colombia & GT,Colombia Border & GT,-0.013387196020153036,False,48
51,Amazonas,InSample,Colombia & GT,Colombia Border & GT,0.38875623794161895,False,48
52,Anzoategui,OOS,Colombia & GT,Colombia Border & GT,-0.7417515322715986,False,48
53,Anzoategui,InSample,Colombia & GT,Colombia Border & GT,0.5632289164748867,False,48
54,Apure,OOS,Colombia & GT,Colombia Border & GT,-0.5766254655316818,False,48
55,Apure,InSample,Colombia & GT,Colombia Border & GT,0.4462931197587803,False,48
56,Aragua,OOS,Colombia & GT,Colombia Border & GT,-0.31667485692569103,False,48
